@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute outputs_annie-1 numeric
@attribute outputs_annie-2 numeric
@attribute outputs_annie-3 numeric
@attribute outputs_annie-4 numeric
@attribute outputs_annie-5 numeric
@attribute outputs_annie-6 numeric

@data
96,'2017/02/12 13:20:43:503',5,356.261353,239.964371,4.532835,0.122487,0.021319,0.083642,13.516797,6.020876,7.190481,7.158714,2.643044,2.659723,25.685656,6.312814,0,0,0,?,?,?
97,'2017/02/12 13:20:43:528',5,356.23999,240.65155,4.579954,0.135418,0.018619,0.082657,13.380628,7.719748,7.258835,7.233654,2.590536,2.608059,25.631613,6.254322,0,0,0,?,?,?
98,'2017/02/12 13:20:43:560',5,356.156799,240.33078,4.56808,0.129389,0.020566,0.081684,13.420274,7.558829,7.205119,7.177033,2.6417,2.653421,25.687571,6.309483,0,0,0,?,?,?
99,'2017/02/12 13:20:43:615',5,356.057434,240.119934,4.560012,0.127561,0.019035,0.081963,13.389084,7.152509,7.203677,7.177105,2.613378,2.633835,25.671043,6.2885,0,0,0,?,?,?
100,'2017/02/12 13:20:43:637',5,355.882355,240.29892,4.570933,0.128548,0.020167,0.083646,13.349082,7.819669,7.208884,7.186094,2.592867,2.615998,25.643547,6.270471,0,0,0,?,?,?
101,'2017/02/12 13:20:43:678',5,355.98764,240.357162,4.561141,0.124191,0.019658,0.080795,13.43765,7.451767,7.207824,7.171593,2.641209,2.655937,25.685265,6.280047,0,0,0,?,?,?
102,'2017/02/12 13:20:43:702',5,355.824066,239.997528,4.562521,0.130405,0.017646,0.084041,13.409996,6.919937,7.206475,7.167341,2.609168,2.634307,25.635117,6.30471,0,0,0,?,?,?
103,'2017/02/12 13:20:43:748',5,355.815369,240.47644,4.568274,0.12705,0.023251,0.082881,13.369274,7.797343,7.236028,7.213554,2.591392,2.604037,25.696825,6.263023,0,0,0,?,?,?
104,'2017/02/12 13:20:43:771',5,355.937897,240.203354,4.563559,0.126829,0.01725,0.081379,13.391568,7.39322,7.22395,7.186685,2.589397,2.609851,25.675396,6.324201,0,0,0,?,?,?
105,'2017/02/12 13:20:43:796',5,355.812836,239.773239,4.545087,0.130154,0.017094,0.086026,13.379802,6.25255,7.207739,7.15824,2.655301,2.688734,25.637005,6.281275,0,0,0,?,?,?
106,'2017/02/12 13:20:43:827',5,355.97049,240.233353,4.563264,0.133452,0.02357,0.0816,13.393696,7.070909,7.242764,7.213125,2.567138,2.580312,25.754278,6.2995,0,0,0,?,?,?
107,'2017/02/12 13:20:43:859',5,355.755798,240.633362,4.555334,0.11593,0.020656,0.081287,13.39961,7.517275,7.206419,7.178528,2.618037,2.628747,25.534939,6.348195,0,0,0,?,?,?
108,'2017/02/12 13:20:43:894',5,355.819977,240.365997,4.555647,0.120519,0.019722,0.079558,13.38798,7.011284,7.175217,7.145843,2.607838,2.623152,25.667538,6.325767,0,0,0,?,?,?
109,'2017/02/12 13:20:43:948',5,355.531097,240.39621,4.573347,0.131259,0.019101,0.085415,13.303253,7.604121,7.21393,7.190856,2.568467,2.60094,25.65687,6.302717,0,0,0,?,?,?
110,'2017/02/12 13:20:43:971',5,355.715576,240.71077,4.560846,0.120129,0.023308,0.079478,13.333131,7.505126,7.189347,7.165392,2.607883,2.613725,25.670832,6.284623,0,0,0,?,?,?
111,'2017/02/12 13:20:44:001',5,355.636169,240.5625,4.555491,0.119557,0.020903,0.077685,13.360096,7.237424,7.207691,7.184922,2.583681,2.596082,25.62743,6.316591,0,0,0,?,?,?
112,'2017/02/12 13:20:44:033',5,355.516693,240.666565,4.559928,0.123904,0.02428,0.080649,13.313566,7.72322,7.224487,7.200093,2.555139,2.570743,25.650469,6.307382,0,0,0,?,?,?
113,'2017/02/12 13:21:18:305',6,386.001068,255.276367,3.347868,0.100633,-0.02047,0.126524,13.928307,0.951769,7.013329,6.96327,2.736492,2.803211,20.680063,6.710186,0,0,0,?,?,?
114,'2017/02/12 13:21:18:342',6,386.023773,255.49678,3.36539,0.100277,-0.020591,0.125801,13.97755,0.972996,6.975186,6.914855,2.800432,2.862437,20.82169,6.698732,0,0,0,?,?,?
115,'2017/02/12 13:21:18:364',6,386.132263,255.466476,3.415304,0.110726,-0.020342,0.123889,13.738943,1.826894,7.019128,6.941172,2.704812,2.764485,21.408199,6.622278,0,0,0,?,?,?
116,'2017/02/12 13:21:18:407',6,386.269775,255.903458,3.464118,0.102742,-0.024394,0.121112,13.631466,2.527349,7.074949,6.994109,2.756779,2.813206,22.064583,6.544815,0,0,0,?,?,?
117,'2017/02/12 13:21:18:431',6,386.530029,256.626495,3.528809,0.10057,-0.025463,0.119523,14.276047,4.198904,7.134542,7.055855,2.729239,2.775917,23.06349,6.491096,0,0,0,?,?,?
118,'2017/02/12 13:21:18:470',6,386.726349,257.209137,3.619428,0.103916,-0.026777,0.116801,14.675565,5.50317,7.198524,7.101534,2.613231,2.638368,23.959787,6.344653,0,0,0,?,?,?
119,'2017/02/12 13:21:18:505',6,386.849213,257.107452,3.699703,0.112788,-0.022527,0.117269,14.745423,6.253673,7.173196,7.069587,2.818475,2.831372,24.526943,6.304708,0,0,0,?,?,?
120,'2017/02/12 13:21:18:574',6,387.172638,256.881287,3.801576,0.123313,-0.019655,0.116028,14.833438,7.626955,7.189131,7.125204,3.012581,3.031008,25.14397,6.172343,0,0,0,?,?,?
121,'2017/02/12 13:21:18:612',6,387.533905,256.794617,3.830445,0.124249,-0.021454,0.110159,14.904616,7.52288,7.374412,7.338609,2.848991,2.846718,25.27054,6.040609,0,0,0,?,?,?
122,'2017/02/12 13:21:18:718',6,388.667725,256.395691,3.866289,0.11721,-0.020846,0.109249,14.591585,8.74224,7.251656,7.208725,2.832453,2.838622,25.766151,6.077589,0,0,0,?,?,?
123,'2017/02/12 13:21:18:766',6,388.622894,255.631546,3.879567,0.132525,-0.022896,0.110668,14.458742,8.605675,7.148358,7.109951,2.865818,2.87629,25.759045,6.022154,0,0,0,?,?,?
124,'2017/02/12 13:21:18:807',6,388.789612,255.814484,3.903904,0.136794,-0.017408,0.105384,14.373322,8.706994,7.202009,7.156909,2.797368,2.778948,25.785032,6.009587,0,0,0,?,?,?
125,'2017/02/12 13:21:18:833',6,388.7099,255.957199,3.900473,0.123477,-0.024558,0.103059,14.48175,8.699087,7.159724,7.125293,2.761931,2.745569,25.783373,6.056438,0,0,0,?,?,?
126,'2017/02/12 13:21:18:875',6,388.754639,256.015289,3.905417,0.12653,-0.018297,0.103382,14.376641,8.519387,7.174706,7.137758,2.721577,2.704278,25.815882,6.066404,0,0,0,?,?,?
127,'2017/02/12 13:21:18:899',6,388.657379,256.051361,3.909926,0.127246,-0.023991,0.10498,14.339681,8.584247,7.172408,7.137094,2.705066,2.69886,25.899225,6.028575,0,0,0,?,?,?
128,'2017/02/12 13:21:18:944',6,388.670929,255.783005,3.923833,0.137656,-0.017612,0.105915,14.245102,8.724646,7.161048,7.124154,2.710008,2.702252,25.937641,6.008125,0,0,0,?,?,?
129,'2017/02/12 13:21:18:965',6,388.559723,255.872742,3.928727,0.12706,-0.02568,0.106269,14.322545,8.719407,7.152482,7.115081,2.748544,2.741409,25.985083,5.959303,0,0,0,?,?,?
130,'2017/02/12 13:21:19:004',6,388.577576,255.58075,3.942202,0.126237,-0.019534,0.107933,14.242167,8.670932,7.111696,7.067917,2.81149,2.797824,26.015514,5.959439,0,0,0,?,?,?
131,'2017/02/12 13:21:19:049',6,388.623505,254.814377,3.944201,0.123901,-0.023567,0.108038,14.213103,8.483604,7.067401,7.027643,2.882432,2.879018,26.146379,5.964084,0,0,0,?,?,?
132,'2017/02/12 13:21:19:071',6,388.757263,254.189941,3.963717,0.122268,-0.023324,0.108129,14.231634,8.749914,7.063826,7.017034,2.866892,2.859444,26.134974,5.971059,0,0,0,?,?,?
133,'2017/02/12 13:21:19:110',6,388.875763,253.738297,3.981553,0.121095,-0.023737,0.105282,14.154333,8.860567,7.061885,7.023051,2.878358,2.859414,26.215452,5.954315,0,0,0,?,?,?
134,'2017/02/12 13:21:19:136',6,388.932526,253.020096,3.993643,0.114991,-0.021111,0.107974,14.127744,8.394959,7.055389,7.027578,2.865117,2.857492,26.224457,5.932448,0,0,0,?,?,?
135,'2017/02/12 13:21:19:182',6,389.216248,252.185806,4.021688,0.118017,-0.023144,0.105554,14.117612,8.996822,7.07948,7.03994,2.838335,2.829089,26.316481,5.972839,0,0,0,?,?,?
136,'2017/02/12 13:21:19:204',6,389.279022,251.373428,4.038731,0.117282,-0.019081,0.106248,14.100501,8.640115,7.085715,7.050569,2.880421,2.871974,26.353195,5.929684,0,0,0,?,?,?
137,'2017/02/12 13:21:19:245',6,389.49585,250.825653,4.071354,0.122368,-0.023396,0.106813,13.994131,9.057467,7.273202,7.235765,2.815898,2.818176,26.56451,5.885696,0,0,0,?,?,?
138,'2017/02/12 13:21:19:268',6,389.705017,250.492767,4.088127,0.113607,-0.018649,0.106676,14.061103,8.630931,7.321931,7.294947,2.804302,2.793789,26.620811,5.87643,0,0,0,?,?,?
139,'2017/02/12 13:21:19:310',6,390.600281,249.430252,4.15609,0.111766,-0.022351,0.107384,13.978974,9.579589,7.498459,7.464027,2.615287,2.600349,26.809868,6.019447,0,0,0,?,?,?
140,'2017/02/12 13:21:19:333',6,391.209442,248.922363,4.183856,0.103309,-0.025139,0.104681,13.895208,9.714224,7.430126,7.394252,2.758002,2.736131,27.062735,5.905219,0,0,0,?,?,?
141,'2017/02/12 13:21:19:373',6,391.70517,248.406235,4.228651,0.101033,-0.029064,0.100268,13.931236,9.808176,7.451883,7.418849,2.733336,2.700268,27.104836,5.878876,0,0,0,?,?,?
142,'2017/02/12 13:21:19:408',6,392.341705,247.676773,4.263476,0.092002,-0.034001,0.098337,13.807085,10.195867,7.475383,7.433701,2.687778,2.653874,27.204433,5.885287,0,0,0,?,?,?
143,'2017/02/12 13:21:19:438',6,393.081635,247.151474,4.306825,0.083291,-0.042268,0.098308,13.870648,10.191684,7.508123,7.449757,2.670933,2.636138,27.230663,5.842243,0,0,0,?,?,?
144,'2017/02/12 13:21:19:476',6,393.667908,246.829102,4.344169,0.070986,-0.046498,0.097672,13.710398,10.362676,7.503989,7.455661,2.608406,2.573769,27.442532,5.840081,0,0,0,?,?,?
145,'2017/02/12 13:21:19:502',6,394.461792,246.577759,4.383275,0.069479,-0.049865,0.093896,13.787304,10.281745,7.557223,7.502765,2.587457,2.541447,27.513163,5.752329,0,0,0,?,?,?
146,'2017/02/12 13:21:19:543',6,395.264221,245.764069,4.416987,0.070507,-0.05325,0.090213,13.559655,10.673656,7.595766,7.543375,2.582231,2.530506,27.562723,5.735112,0,0,0,?,?,?
147,'2017/02/12 13:21:19:566',6,396.259491,245.165802,4.459452,0.065648,-0.055524,0.089406,13.572338,10.627566,7.60475,7.549106,2.555805,2.507816,27.562849,5.710286,0,0,0,?,?,?
148,'2017/02/12 13:21:19:613',6,397.414459,244.637329,4.491703,0.051863,-0.060898,0.086562,13.457588,10.880643,7.629549,7.569527,2.514053,2.45911,27.701157,5.693758,0,0,0,?,?,?
